🥇 1st_place_medal 
🥈 2nd_place_medal 
🥉 3rd_place_medal 
🆎 AB_button_(blood_type) ab ab_button_blood_type
🏧 ATM_sign atm atm_sign
🅰️ A_button_(blood_type) a a_button_blood_type
🅰 A_button_(blood_type) a a_button_blood_type
🇦🇫 Afghanistan flag_for_Afghanistan afghanistan
🇦🇱 Albania flag_for_Albania albania
🇩🇿 Algeria flag_for_Algeria algeria
🇦🇸 American_Samoa flag_for_American_Samoa american_samoa
🇦🇩 Andorra flag_for_Andorra andorra
🇦🇴 Angola flag_for_Angola angola
🇦🇮 Anguilla flag_for_Anguilla anguilla
🇦🇶 Antarctica flag_for_Antarctica antarctica
🇦🇬 Antigua_&_Barbuda flag_for_Antigua_&_Barbuda antigua_barbuda
♒ Aquarius aquarius
🇦🇷 Argentina flag_for_Argentina argentina
♈ Aries aries
🇦🇲 Armenia flag_for_Armenia armenia
🇦🇼 Aruba flag_for_Aruba aruba
🇦🇨 Ascension_Island flag_for_Ascension_Island ascension_island
🇦🇺 Australia flag_for_Australia australia
🇦🇹 Austria flag_for_Austria austria
🇦🇿 Azerbaijan flag_for_Azerbaijan azerbaijan
🔙 BACK_arrow back back_arrow
🅱️ B_button_(blood_type) b b_button_blood_type
🅱 B_button_(blood_type) b b_button_blood_type
🇧🇸 Bahamas flag_for_Bahamas bahamas
🇧🇭 Bahrain flag_for_Bahrain bahrain
🇧🇩 Bangladesh flag_for_Bangladesh bangladesh
🇧🇧 Barbados flag_for_Barbados barbados
🇧🇾 Belarus flag_for_Belarus belarus
🇧🇪 Belgium flag_for_Belgium belgium
🇧🇿 Belize flag_for_Belize belize
🇧🇯 Benin flag_for_Benin benin
🇧🇲 Bermuda flag_for_Bermuda bermuda
🇧🇹 Bhutan flag_for_Bhutan bhutan
🇧🇴 Bolivia flag_for_Bolivia bolivia
🇧🇦 Bosnia_&_Herzegovina flag_for_Bosnia_&_Herzegovina bosnia_herzegovina
🇧🇼 Botswana flag_for_Botswana botswana
🇧🇻 Bouvet_Island flag_for_Bouvet_Island bouvet_island
